order_id,product_id,unit_price,quantity,discount,_sdc_extracted_at,_sdc_received_at,_sdc_batched_at,_sdc_deleted_at,_sdc_sequence,_sdc_table_version,_sdc_sync_started_at,order_id,customer_id,employee_id,order_date,required_date,shipped_date,ship_via,freight,ship_name,ship_address,ship_city,ship_region,ship_postal_code,ship_country,_sdc_extracted_at,_sdc_received_at,_sdc_batched_at,_sdc_deleted_at,_sdc_sequence,_sdc_table_version,_sdc_sync_started_at
10667,71,21.5,14,0.2,2025-02-04 18:15:48.784582,2025-02-04 18:15:49.211374,2025-02-04 18:15:49.135391,,1738692949211,,1738692949013,10667,ERNSH,7,1997-09-12,1997-10-10,1997-09-19,1,78.09,Ernst Handel,Kirchgasse 6,Graz,,8010,Austria,2025-02-04 18:15:55.421227,2025-02-04 18:15:55.895942,2025-02-04 18:15:55.850599,,1738692955896,,1738692955759
10946,77,13,40,0,2025-02-04 18:15:48.799633,2025-02-04 18:15:49.257101,2025-02-04 18:15:49.135391,,1738692949257,,1738692949013,10946,VAFFE,1,1998-03-12,1998-04-09,1998-03-19,2,27.2,Vaffeljernet,Smagsloget 45,Århus,,8200,Denmark,2025-02-04 18:15:55.431264,2025-02-04 18:15:55.923708,2025-02-04 18:15:55.850599,,1738692955924,,1738692955759
11008,71,21.5,21,0,2025-02-04 18:15:48.802894,2025-02-04 18:15:49.267024,2025-02-04 18:15:49.135391,,1738692949267,,1738692949013,11008,ERNSH,7,1998-04-08,1998-05-06,,3,79.46,Ernst Handel,Kirchgasse 6,Graz,,8010,Austria,2025-02-04 18:15:55.433412,2025-02-04 18:15:55.929828,2025-02-04 18:15:55.850599,,1738692955930,,1738692955759
10276,13,4.8,10,0,2025-02-04 18:15:48.761167,2025-02-04 18:15:49.141988,2025-02-04 18:15:49.135391,,1738692949142,,1738692949013,10276,TORTU,8,1996-08-08,1996-08-22,1996-08-14,3,13.84,Tortuga Restaurante,Avda. Azteca 123,México D.F.,,05033,Mexico,2025-02-04 18:15:55.407242,2025-02-04 18:15:55.854299,2025-02-04 18:15:55.850599,,1738692955854,,1738692955759
10248,72,34.8,5,0,2025-02-04 18:15:48.759513,2025-02-04 18:15:49.135670,2025-02-04 18:15:49.135391,,1738692949136,,1738692949013,10248,VINET,5,1996-07-04,1996-08-01,1996-07-16,3,32.38,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,,51100,France,2025-02-04 18:15:55.406179,2025-02-04 18:15:55.850608,2025-02-04 18:15:55.850599,,1738692955851,,1738692955759
10249,51,42.4,40,0,2025-02-04 18:15:48.759564,2025-02-04 18:15:49.135853,2025-02-04 18:15:49.135391,,1738692949136,,1738692949013,10249,TOMSP,6,1996-07-05,1996-08-16,1996-07-10,1,11.61,Toms Spezialitäten,Luisenstr. 48,Münster,,44087,Germany,2025-02-04 18:15:55.406239,2025-02-04 18:15:55.850811,2025-02-04 18:15:55.850599,,1738692955851,,1738692955759
10250,65,16.8,15,0.15,2025-02-04 18:15:48.759634,2025-02-04 18:15:49.136123,2025-02-04 18:15:49.135391,,1738692949136,,1738692949013,10250,HANAR,4,1996-07-08,1996-08-05,1996-07-12,2,65.83,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,RJ,05454-876,Brazil,2025-02-04 18:15:55.406285,2025-02-04 18:15:55.850953,2025-02-04 18:15:55.850599,,1738692955851,,1738692955759
10251,65,16.8,20,0,2025-02-04 18:15:48.759706,2025-02-04 18:15:49.136393,2025-02-04 18:15:49.135391,,1738692949136,,1738692949013,10251,VICTE,3,1996-07-08,1996-08-05,1996-07-15,1,41.34,Victuailles en stock,"2, rue du Commerce",Lyon,,69004,France,2025-02-04 18:15:55.406326,2025-02-04 18:15:55.851085,2025-02-04 18:15:55.850599,,1738692955851,,1738692955759
10252,60,27.2,40,0,2025-02-04 18:15:48.759784,2025-02-04 18:15:49.136659,2025-02-04 18:15:49.135391,,1738692949137,,1738692949013,10252,SUPRD,4,1996-07-09,1996-08-06,1996-07-11,2,51.3,Suprêmes délices,"Boulevard Tirou, 255",Charleroi,,B-6000,Belgium,2025-02-04 18:15:55.406365,2025-02-04 18:15:55.851215,2025-02-04 18:15:55.850599,,1738692955851,,1738692955759
10253,49,16,40,0,2025-02-04 18:15:48.759854,2025-02-04 18:15:49.136925,2025-02-04 18:15:49.135391,,1738692949137,,1738692949013,10253,HANAR,3,1996-07-10,1996-07-24,1996-07-16,2,58.17,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,RJ,05454-876,Brazil,2025-02-04 18:15:55.406403,2025-02-04 18:15:55.851341,2025-02-04 18:15:55.850599,,1738692955851,,1738692955759
