order_id,product_id,unit_price,quantity,discount,_sdc_extracted_at,_sdc_received_at,_sdc_batched_at,_sdc_deleted_at,_sdc_sequence,_sdc_table_version,_sdc_sync_started_at,order_id,customer_id,employee_id,order_date,required_date,shipped_date,ship_via,freight,ship_name,ship_address,ship_city,ship_region,ship_postal_code,ship_country,_sdc_extracted_at,_sdc_received_at,_sdc_batched_at,_sdc_deleted_at,_sdc_sequence,_sdc_table_version,_sdc_sync_started_at
10667,71,21.5,14,0.2,2025-04-06 22:48:08.505251,2025-04-06 22:48:08.891766,2025-04-06 22:48:08.816568,,1743979688892,,1743979688690,10667,ERNSH,7,1997-09-12,1997-10-10,1997-09-19,1,78.09,Ernst Handel,Kirchgasse 6,Graz,,8010,Austria,2025-04-06 22:48:08.542811,2025-04-06 22:48:09.025365,2025-04-06 22:48:08.981220,,1743979689025,,1743979688690
10946,77,13,40,0,2025-04-06 22:48:08.520580,2025-04-06 22:48:08.937211,2025-04-06 22:48:08.816568,,1743979688937,,1743979688690,10946,VAFFE,1,1998-03-12,1998-04-09,1998-03-19,2,27.2,Vaffeljernet,Smagsloget 45,Århus,,8200,Denmark,2025-04-06 22:48:08.552534,2025-04-06 22:48:09.052963,2025-04-06 22:48:08.981220,,1743979689053,,1743979688690
11008,71,21.5,21,0,2025-04-06 22:48:08.523826,2025-04-06 22:48:08.946917,2025-04-06 22:48:08.816568,,1743979688947,,1743979688690,11008,ERNSH,7,1998-04-08,1998-05-06,,3,79.46,Ernst Handel,Kirchgasse 6,Graz,,8010,Austria,2025-04-06 22:48:08.554601,2025-04-06 22:48:09.059118,2025-04-06 22:48:08.981220,,1743979689059,,1743979688690
10276,13,4.8,10,0,2025-04-06 22:48:08.481456,2025-04-06 22:48:08.822852,2025-04-06 22:48:08.816568,,1743979688823,,1743979688690,10276,TORTU,8,1996-08-08,1996-08-22,1996-08-14,3,13.84,Tortuga Restaurante,Avda. Azteca 123,México D.F.,,05033,Mexico,2025-04-06 22:48:08.529448,2025-04-06 22:48:08.984670,2025-04-06 22:48:08.981220,,1743979688985,,1743979688690
10248,72,34.8,5,0,2025-04-06 22:48:08.479655,2025-04-06 22:48:08.816843,2025-04-06 22:48:08.816568,,1743979688817,,1743979688690,10248,VINET,5,1996-07-04,1996-08-01,1996-07-16,3,32.38,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,,51100,France,2025-04-06 22:48:08.528497,2025-04-06 22:48:08.981226,2025-04-06 22:48:08.981220,,1743979688981,,1743979688690
10249,51,42.4,40,0,2025-04-06 22:48:08.479707,2025-04-06 22:48:08.817015,2025-04-06 22:48:08.816568,,1743979688817,,1743979688690,10249,TOMSP,6,1996-07-05,1996-08-16,1996-07-10,1,11.61,Toms Spezialitäten,Luisenstr. 48,Münster,,44087,Germany,2025-04-06 22:48:08.528539,2025-04-06 22:48:08.981407,2025-04-06 22:48:08.981220,,1743979688981,,1743979688690
10250,65,16.8,15,0.15,2025-04-06 22:48:08.479778,2025-04-06 22:48:08.817260,2025-04-06 22:48:08.816568,,1743979688817,,1743979688690,10250,HANAR,4,1996-07-08,1996-08-05,1996-07-12,2,65.83,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,RJ,05454-876,Brazil,2025-04-06 22:48:08.528575,2025-04-06 22:48:08.981535,2025-04-06 22:48:08.981220,,1743979688982,,1743979688690
10251,65,16.8,20,0,2025-04-06 22:48:08.479847,2025-04-06 22:48:08.817507,2025-04-06 22:48:08.816568,,1743979688818,,1743979688690,10251,VICTE,3,1996-07-08,1996-08-05,1996-07-15,1,41.34,Victuailles en stock,"2, rue du Commerce",Lyon,,69004,France,2025-04-06 22:48:08.528612,2025-04-06 22:48:08.981676,2025-04-06 22:48:08.981220,,1743979688982,,1743979688690
10252,60,27.2,40,0,2025-04-06 22:48:08.479918,2025-04-06 22:48:08.817751,2025-04-06 22:48:08.816568,,1743979688818,,1743979688690,10252,SUPRD,4,1996-07-09,1996-08-06,1996-07-11,2,51.3,Suprêmes délices,"Boulevard Tirou, 255",Charleroi,,B-6000,Belgium,2025-04-06 22:48:08.528646,2025-04-06 22:48:08.981797,2025-04-06 22:48:08.981220,,1743979688982,,1743979688690
10253,49,16,40,0,2025-04-06 22:48:08.479996,2025-04-06 22:48:08.817991,2025-04-06 22:48:08.816568,,1743979688818,,1743979688690,10253,HANAR,3,1996-07-10,1996-07-24,1996-07-16,2,58.17,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,RJ,05454-876,Brazil,2025-04-06 22:48:08.528680,2025-04-06 22:48:08.981918,2025-04-06 22:48:08.981220,,1743979688982,,1743979688690
